COLLEGE,DEPT,SSTS,CRN,COURSE,SEC,TITLE,PT TRM,CR,CONT,DAYS,TIME,LOCATION,SCD OVR,SD,INSM,IP,INSTRUCTOR,INS OVR,PRIMARY,% RESPONSE,SAPR,FEE,FEE DETL,MAX CAP,TERMS
College of Arts and Sciences,BLY,A,20198,BLY101,101,Life Science I,1,3.0,3.0,MWF,1010  1100,LSLH 0003,,LE,WE,C,C Delaney Tucker,O,Y,100,,,,120,0
College of Arts and Sciences,BLY,A,20561,BLY101,102,Life Science I,1,3.0,3.0,MWF,0905  0955,LSLH 0003,,LE,WE,C,C Delaney Tucker,,Y,100,,,,105,0
College of Arts and Sciences,BLY,A,23701,BLY101,103,Life Science I,1,3.0,3.0,MWF,1220  1310,LSLH 0003,,LE,WE,C,STAFF,,,,,,,0,0
College of Arts and Sciences,BLY,A,20206,BLY101,501,Life Science I,1,3.0,3.0,T,1800  2030,ELSCB 0131,,LE,WE,C,N Hilbun,,Y,100,,,,30,0
College of Arts and Sciences,BLY,A,27131,BLY101,801,Life Science I,1,3.0,3.0,TBA,TBA  TBA,WEB WEB,,W,WO,C,C Delaney Tucker,,Y,100,,,,35,0
College of Arts and Sciences,BLY,A,27131,BLY101,801,Must enroll in either lab BLY 101L.801 CRN 27285 or,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,27131,BLY101,801,BLY 101L.802 CRN 27286,,,,,,,,,,,,,,,,,,,1.5
College of Arts and Sciences,BLY,A,27131,BLY101,801,FULLY ONLINE SECTION.  This course is offered via Internet,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,27131,BLY101,801,only and has no scheduled times.  USA online courses are,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,27131,BLY101,801,offered in Canvas.,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20199,BLY101L,750,Life Science I Laboratory,1,1.0,2.0,M,1115  1255,ELSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20199,BLY101L,750,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20199,BLY101L,750,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20199,BLY101L,750,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20199,BLY101L,750,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20199,BLY101L,750,Canvas.,,,,,,,,,,,,,,,,,,,5
